Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
15037755,5,1,685.0,137.0,137.0,137.0,137.0,0.0,137.0,137.0,137.0,0.0,54.662414702194575,0.398995727753245,3007551.0,4708.1166085813975,3014334.0,3001450.0,12036305.0,3009076.25,3747.7858685718647,3014334.0,3006172.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,8,0.3324964397943709,0.0664992879588741,137.0,137.0,137.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,159.83333333333334,137.0,137.0,0,0,0,0,0,0,5,685,1,137,-1,-1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
2964046,1,1,321.0,321.0,321.0,321.0,321.0,0.0,321.0,321.0,321.0,0.0,216.59582880967437,0.6747533607778017,2964046.0,0.0,2964046.0,2964046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,0.3373766803889008,0.3373766803889008,321.0,321.0,321.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,481.5,321.0,321.0,0,0,0,0,0,0,1,321,1,321,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
9619373,9,1,415.0,33.0,71.0,33.0,46.11111111111112,14.29549268514769,33.0,33.0,33.0,0.0,46.57268202407787,1.0395687951803096,1068819.2222222222,1585581.9885535543,4634732.0,361.0,9618396.0,1202299.5,1640110.582134109,4634732.0,361.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,8,0.9356119156622786,0.1039568795180309,33.0,71.0,43.72727272727273,13.842621927156063,191.61818181818185,0,0,0,0,0,0,0,0,0.0,48.1,46.11111111111112,33.0,0,0,0,0,0,0,9,415,1,33,-1,-1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
119059302,625,970,43712.0,1071787.0,112.0,64.0,69.93919999999994,12.2729174430574,1265.0,64.0,1104.9350515463943,401.4594619581341,9369.27212961487,13.39668529217482,74692.15934755326,359418.6478298168,2627477.0,0.0,119058963.0,190799.620192308,556817.1877323607,2627477.0,19.0,119058842.0,122867.74200206404,469943.1699562869,2656158.0,0.0,0,0,0,0,5000,7760,5.249484832356904,8.147200459817915,64.0,1265.0,698.9968671679198,594.5359503246407,353472.9962284236,0,0,0,0,0,0,0,0,1.0,699.4351097178684,69.9392,1104.9350515463918,0,0,0,0,0,0,625,43712,970,1071787,-1,-1,625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
15029701,5,1,685.0,137.0,137.0,137.0,137.0,0.0,137.0,137.0,137.0,0.0,54.69170677447276,0.3992095384998012,3005940.2,4267.58774953722,3011446.0,3000268.0,12029433.0,3007358.25,3298.0754362709085,3011446.0,3004132.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,8,0.332674615416501,0.0665349230833002,137.0,137.0,137.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,159.83333333333334,137.0,137.0,0,0,0,0,0,0,5,685,1,137,-1,-1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
10852950,9,1,415.0,33.0,71.0,33.0,46.11111111111112,14.29549268514769,33.0,33.0,33.0,0.0,41.27909923108464,0.9214084649795676,1205883.3333333333,1884497.106997514,5614488.0,328.0,10852044.0,1356505.5,1955839.903602907,5614488.0,328.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,8,0.829267618481611,0.0921408464979567,33.0,71.0,43.72727272727273,13.842621927156063,191.61818181818185,0,0,0,0,0,0,0,0,0.0,48.1,46.11111111111112,33.0,0,0,0,0,0,0,9,415,1,33,-1,-1,9,0,2220687.0,0.0,2220687.0,2220687.0,5614488.0,0.0,5614488.0,5614488.0,Normal
109143754,1,3,33.0,235.0,33.0,33.0,33.0,0.0,104.0,29.0,78.33333333333333,42.73562136360408,2.4554772048613978,0.0366489135053939,36381251.33333333,63008255.62176951,109136918.0,1864.0,0.0,0.0,0.0,0.0,0.0,109143754.0,54571877.0,77173652.4834761,109141890.0,1864.0,0,0,0,0,8,24,0.0091622283763484,0.0274866851290454,29.0,104.0,59.4,39.84093372399799,1587.3000000000002,0,0,0,0,0,0,0,0,3.0,74.25,33.0,78.33333333333333,0,0,0,0,0,0,1,33,3,235,-1,-1,1,0,1864.0,0.0,1864.0,1864.0,109136918.0,0.0,109136918.0,109136918.0,Normal
110441480,11,13,220.0,972.0,20.0,20.0,20.0,0.0,96.0,20.0,74.76923076923075,25.684476005795947,10.793046235888909,0.2173096557561525,4801803.478260869,5099851.247978628,10016532.0,14884.0,100359221.0,10035922.1,14752.714314849143,10077891.0,10030420.0,110441480.0,9203456.666666668,2891871.907676766,10085979.0,20751.0,0,0,0,0,88,104,0.0996002588882365,0.1177093968679159,20.0,96.0,48.48,33.31306050185122,1109.76,0,0,0,0,0,0,0,0,1.0,50.5,20.0,74.76923076923077,0,0,0,0,0,0,11,220,13,972,-1,-1,11,0,23729.0,16661.707541545675,73408.0,14884.0,10011323.818181818,3978.4545446236766,10016532.0,10004483.0,Normal
119148072,989,1454,62522.0,1615983.0,615.0,45.0,63.21739130434781,30.93421027362097,1229.0,57.0,1111.4050894085271,341.2203458673273,14087.554853594274,20.50389871184823,48791.18427518424,216188.31486602323,2302234.0,0.0,119097168.0,120543.69230769233,335769.6091155654,2302234.0,20.0,119147649.0,82001.13489332417,286332.2531185989,2560112.0,0.0,0,0,0,0,7912,11632,8.300595917322104,12.203302794526126,45.0,1229.0,686.8269230769229,578.3596639245131,334499.9008548758,0,0,0,0,0,0,0,0,1.0,687.1080638559149,63.21739130434783,1111.4050894085285,0,0,0,0,0,0,989,62522,1454,1615983,-1,-1,989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
943,1,1,71.0,33.0,71.0,71.0,71.0,0.0,33.0,33.0,33.0,0.0,110286.32025450688,2120.8907741251323,943.0,0.0,943.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1060.4453870625662,1060.4453870625662,33.0,71.0,45.66666666666666,21.939310229205777,481.3333333333333,0,0,0,0,0,0,0,0,1.0,68.5,71.0,33.0,0,0,0,0,0,0,1,71,1,33,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
119963400,608,1041,38874.0,1118606.0,617.0,45.0,63.93750000000002,33.74498864496911,1229.0,45.0,1074.5494716618616,385.7170317212048,9648.609492561898,13.74585915370855,72793.32524271829,313042.59820725763,2456021.0,0.0,119909615.0,197544.67051070856,498249.83561811154,2463264.0,21.0,119762745.0,115156.485576923,394243.9672900872,2470027.0,0.0,0,0,0,0,4864,8328,5.068212471470465,8.677646682238084,45.0,1229.0,701.5636363636363,576.3674634220428,332199.45289155986,0,0,0,0,0,0,0,0,1.0,701.9890842935113,63.9375,1074.5494716618637,0,0,0,0,0,0,608,38874,1041,1118606,-1,-1,608,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
111934563,16,13,320.0,1092.0,20.0,20.0,20.0,0.0,96.0,20.0,84.0,24.33105012119288,12.6145129989921,0.2590799411974298,3997662.9642857136,4925760.726715497,10013448.0,17726.0,101890028.0,6792668.533333334,4741235.351751782,10032108.0,264969.0,111934563.0,9327880.25,2939929.396243761,10808275.0,21612.0,0,0,0,0,128,104,0.142940657212375,0.1161392839850547,20.0,96.0,47.73333333333333,35.8530846394131,1285.4436781609193,0,0,0,0,0,0,0,0,0.0,49.37931034482759,20.0,84.0,0,0,0,0,0,0,16,320,13,1092,-1,-1,16,0,165047.18181818182,243343.5381039809,799437.0,18540.0,10009210.727272728,2827.9065433963706,10013448.0,10005197.0,Normal
110377103,11,13,220.0,1052.0,20.0,20.0,20.0,0.0,96.0,20.0,80.92307692307692,25.20073259008403,11.524129239014362,0.21743640073612,4799004.47826087,5103951.993374936,10014915.0,16346.0,100328922.0,10032892.2,4740.731068797806,10046318.0,10030472.0,110377103.0,9198091.916666666,2890013.209020787,10045462.0,21085.0,0,0,0,0,88,104,0.0996583503373883,0.1177780503987317,20.0,96.0,51.68000000000001,35.81284685695903,1282.5600000000002,0,0,0,0,0,0,0,0,1.0,53.833333333333336,20.0,80.92307692307692,0,0,0,0,0,0,11,220,13,1052,-1,-1,11,0,19734.90909090909,4459.081709377962,31403.0,16346.0,10012730.181818182,2782.611033478456,10014915.0,10007109.0,Normal
